timestamp,open,high,low,close,volume
2019-08-08,0.8151,0.9400,0.8150,0.8730,101187
2019-08-07,0.7940,0.8300,0.7900,0.8100,81900
2019-08-06,0.7510,0.8700,0.7300,0.8000,152400
2019-08-05,0.9100,0.9300,0.7000,0.7500,245500
2019-08-02,0.8700,0.9200,0.8550,0.8790,64100
2019-08-01,0.9830,1.0300,0.8600,0.8830,186600
2019-07-31,0.9960,1.0200,0.9700,0.9830,91300
2019-07-30,0.9720,1.0000,0.9390,0.9900,57600
2019-07-29,0.9900,1.0200,0.9560,0.9770,102500
2019-07-26,1.0200,1.0300,0.9600,0.9880,96800
2019-07-25,1.0600,1.0600,0.9520,1.0200,82200
2019-07-24,0.9710,1.0650,0.9710,1.0600,61500
2019-07-23,0.9210,0.9860,0.9200,0.9800,219400
2019-07-22,0.9700,1.0200,0.8800,0.9100,127700
2019-07-19,1.0300,1.0660,0.9500,0.9590,99400
2019-07-18,1.2100,1.2100,1.0000,1.0200,206100
2019-07-17,1.1400,1.2100,1.1400,1.1900,128100
2019-07-16,1.1500,1.1520,1.1000,1.1500,185800
2019-07-15,1.1900,1.2000,1.1500,1.1600,98800
2019-07-12,1.2900,1.2920,1.1700,1.2000,143500
2019-07-11,1.2700,1.3400,1.2100,1.2700,142800
2019-07-10,1.2600,1.3100,1.1800,1.2400,247800
2019-07-09,1.2100,1.6700,1.1700,1.2600,1215200
2019-07-08,1.0800,1.1900,1.0800,1.1900,262400
2019-07-05,1.0900,1.1400,0.9780,1.0800,349100
2019-07-03,1.0500,1.0900,1.0000,1.0900,184700
2019-07-02,0.9050,1.0400,0.8800,1.0300,577300
2019-07-01,0.8600,0.9100,0.8600,0.9000,119100
2019-06-28,0.8600,0.8900,0.8010,0.8600,1712500
2019-06-27,0.8650,0.8800,0.8220,0.8300,414600
2019-06-26,0.8000,0.9180,0.8000,0.8560,629400
2019-06-25,0.7270,0.8900,0.6720,0.7900,803200
2019-06-24,0.6700,0.7650,0.6600,0.7000,460000
2019-06-21,0.6840,0.7260,0.6600,0.6960,482500
2019-06-20,0.7000,0.7300,0.6520,0.6600,724400
2019-06-19,0.6980,0.7250,0.6530,0.6720,437400
2019-06-18,0.7120,0.8000,0.6400,0.6900,827100
2019-06-17,0.7000,0.7480,0.6990,0.7170,368200
2019-06-14,0.7490,0.7490,0.6210,0.6990,1410800
2019-06-13,0.7500,0.7700,0.7100,0.7430,367700
2019-06-12,0.8000,0.8080,0.7100,0.7310,790800
2019-06-11,0.8240,0.8480,0.7820,0.7910,455500
2019-06-10,0.9200,0.9500,0.7840,0.8230,692700
2019-06-07,0.9230,0.9650,0.8800,0.9200,486900
2019-06-06,0.9850,0.9850,0.8900,0.9150,277600
2019-06-05,1.0700,1.0950,0.9720,0.9860,194400
2019-06-04,1.0200,1.0800,0.9900,1.0500,196500
2019-06-03,0.9450,1.1000,0.9450,1.0100,485000
2019-05-31,1.0500,1.0500,0.8100,0.9000,960900
2019-05-30,1.1000,1.1050,0.9800,1.0600,1207400
2019-05-29,1.2000,1.2470,1.0900,1.1100,293000
2019-05-28,1.0900,1.2700,1.0500,1.2400,365300
2019-05-24,1.3000,1.3100,1.0500,1.1000,814000
2019-05-23,1.1700,1.5300,1.0600,1.3000,1252000
2019-05-22,1.3000,1.3500,1.1100,1.1600,636200
2019-05-21,1.3900,1.4200,1.2800,1.2800,333700
2019-05-20,1.3600,1.4300,1.3000,1.3900,400500
2019-05-17,1.6500,1.6960,1.4400,1.4500,438800
2019-05-16,1.6600,1.8000,1.6400,1.6900,497200
2019-05-15,1.5300,1.7200,1.5000,1.6500,397200
2019-05-14,1.6700,1.6700,1.5200,1.5400,204500
2019-05-13,1.7000,1.7370,1.6300,1.6700,103600
2019-05-10,1.8900,1.9800,1.7000,1.7300,200800
2019-05-09,1.6500,2.1000,1.6500,1.9000,279500
2019-05-08,2.0000,2.0000,1.8000,1.8600,89300
2019-05-07,1.9400,2.1000,1.9100,1.9900,167100
2019-05-06,1.9000,1.9900,1.7600,1.9700,142400
2019-05-03,1.6300,2.4500,1.6300,1.9700,966900
2019-05-02,1.6300,1.6900,1.6000,1.6200,41800
2019-05-01,1.6400,1.6600,1.5900,1.6300,60000
2019-04-30,1.7200,1.7200,1.5700,1.6100,119500
2019-04-29,1.6400,1.7500,1.6300,1.7200,87400
2019-04-26,1.5900,1.6600,1.5250,1.6400,85600
2019-04-25,1.5100,1.6000,1.4350,1.5700,244500
2019-04-24,1.6100,1.6100,1.4900,1.5400,211400
2019-04-23,1.4900,1.6300,1.3600,1.6200,398900
2019-04-22,1.6100,1.6300,1.4000,1.4600,246200
2019-04-18,1.7400,1.7400,1.5500,1.5600,379500
2019-04-17,1.8200,1.8610,1.7400,1.7400,138100
2019-04-16,1.9800,2.0000,1.7050,1.7400,556100
2019-04-15,2.0700,2.1700,2.0000,2.1400,170600
2019-04-12,2.0300,2.1200,1.9650,2.0900,95200
2019-04-11,2.1800,2.2000,1.9700,2.0000,102500
2019-04-10,2.1100,2.1800,2.0600,2.1600,109700
2019-04-09,2.0600,2.1300,1.9700,2.1000,79700
2019-04-08,2.0400,2.0700,1.9800,2.0600,97900
2019-04-05,2.0100,2.1500,2.0000,2.0500,52600
2019-04-04,2.0600,2.0600,1.9700,1.9900,91000
2019-04-03,2.0400,2.0900,2.0000,2.0700,98000
2019-04-02,2.1200,2.1200,1.8800,2.0100,177800
2019-04-01,1.8900,2.1400,1.8900,2.1100,303700
2019-03-29,1.7800,1.8600,1.7100,1.8400,124900
2019-03-28,1.8300,1.8500,1.7500,1.7600,134500
2019-03-27,1.8000,1.8500,1.7150,1.8000,191400
2019-03-26,2.0600,2.0690,1.7600,1.8100,293700
2019-03-25,2.1200,2.1700,2.0000,2.0100,156600
2019-03-22,2.3100,2.3300,2.0300,2.1400,213200
2019-03-21,2.3100,2.3700,2.3000,2.3200,73900
2019-03-20,2.4000,2.4800,2.2900,2.3100,309300
2019-03-19,2.4600,2.5100,2.4000,2.4100,103900
